SYMBOL,TICKER,COMPANY NAME,CURRENT PRICE,OPEN,HIGH,LOW,CLOSE PRICE,CHANGE,CHANGE %,VOLUME AVG,52WHIGH,52W-LOW,MARKET CAP(CR),3D CHART
APLAPOLLO,NSE:APLAPOLLO,APL Apollo Tubes Limited,1727,1739,1743,1710,1732.8,-5.8,-0.33,537496,1936,1272.7,47234.55528,
APLLTD,NSE:APLLTD,Alembic Pharmaceuticals Limited,904.5,919.3,921,904,914.75,-10.25,-1.12,268770,1123.95,725.2,17795.8991,
APOLLO,NSE:APOLLO,Apollo Micro Systems Limited,267.15,272,272.9,266,271.3,-4.15,-1.53,3405482,354.7,92.55,8713.415599,
APOLLOHOSP,NSE:APOLLOHOSP,Apollo Hospitals Enterprise Limited,7330,7390,7396,7310,7393,-63,-0.85,315085,8099.5,6001,105376.1482,
APOLLOPIPE,NSE:APOLLOPIPE,Apollo Pipes Limited,301.3,303,303.5,298.55,301.55,-0.25,-0.08,148843,512.6,288.2,1295.998825,
APOLLOTYRE,NSE:APOLLOTYRE,Apollo Tyres Limited,517.7,521.25,522.25,516.8,521.45,-3.75,-0.72,1046447,557,370.9,32994.4108,
APOLSINHOT,NSE:APOLSINHOT,Apollo Sindoori Hotels Limited,1298.5,1290,1307.9,1290,1285,13.5,1.05,839,1950,1160,340.7969085,
APTECHT,NSE:APTECHT,Aptech Limited,103.9,102.9,104.5,102.53,102.78,1.12,1.09,162637,202.5,100.03,587.7112917,
APTUS,NSE:APTUS,Aptus Value Housing Finance India Limited,280.8,282.9,287.95,279.4,281.2,-0.4,-0.14,1342623,364,267.95,14058.32042,
ARCHIDPLY,NSE:ARCHIDPLY,Archidply Industries Limited,91.77,90.25,92.63,90.01,90.25,1.52,1.68,15710,132,79.5,182.6927726,
ARCHIES,NSE:ARCHIES,Archies Limited,18.97,18.54,19.39,18.54,18.96,0.01,0.05,17758,27.8,14.72,63.805346,
ARE&M,NSE:ARE&M,Amara Raja Energy & Mobility Limited,944.8,951.9,957,941.9,949.8,-5,-0.53,293825,1360,832.3,17374.57,
ARENTERP,NSE:ARENTERP,Rajdarshan Industries Limited,56,52.45,56.99,51.5,52.5,3.5,6.67,3293,88.34,37.17,16.2437063,
ARFIN,NSE:ARFIN,Arfin India Limited,57.91,57.2,58,56.72,57.19,0.72,1.26,183271,59.28,31.43,940.750843,
ARIES,NSE:ARIES,Aries Agro Limited,346.8,354.85,354.85,340.5,349.7,-2.9,-0.83,52881,459.9,220.11,442.0371613,
ARIHANTCAP,NSE:ARIHANTCAP,Arihant Capital Markets Limited,98.77,101.25,101.5,98.2,100.76,-1.99,-1.97,6197040,120,58.15,1022.89968,
ARIHANTSUP,NSE:ARIHANTSUP,Arihant Superstructures Limited,351,350,352.7,347.4,350.55,0.45,0.13,35372,553.6,343,1538.834965,
ARISINFRA,NSE:ARISINFRA,Arisinfra Solutions Limited,141.8,142.6,143.69,141.57,142.62,-0.82,-0.57,712863,208.5,136,1151.300174,
ARKADE,NSE:ARKADE,Arkade Developers Limited,165,165.7,165.98,163.8,164.69,0.31,0.19,417283,213.69,130.56,3001.00515,
ARMANFIN,NSE:ARMANFIN,Arman Financial Services Limited,1619.2,1646.8,1675,1605.2,1630.5,-11.3,-0.69,27999,1834.6,1109.95,1709.039641,
AROGRANITE,NSE:AROGRANITE,Aro Granite Industries Limited,32.36,33.11,36.45,31.61,33.32,-0.96,-2.88,51516,53.7,30.81,48.5449542,
ARROWGREEN,NSE:ARROWGREEN,Arrow Greentech Limited,548,542,550,535.55,542.55,5.45,1,104546,913.95,486.65,806.48338,
ARSHIYA,NSE:ARSHIYA,Arshiya Limited,1.32,1.3,1.32,1.3,1.26,0.06,4.76,229603,4.29,1.19,34.5929113,
ARSSINFRA,NSE:ARSSINFRA,ARSS Infrastructure Projects Limited,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ARTEMISMED,NSE:ARTEMISMED,Artemis Medicare Services Limited,287.28,288.7,288.77,283.05,286.62,0.66,0.23,320792,350,207.71,4393.212145,
ARTNIRMAN,NSE:ARTNIRMAN,Art Nirman Limited,51.19,48,51.5,48,49.05,2.14,4.36,8423,89.8,39.68,134.6830875,
ARVEE,NSE:ARVEE,Arvee Laboratories (India) Limited,165.45,161.4,165.94,157,163.7,1.75,1.07,345,232.99,126.54,179.4679133,
ARVIND,NSE:ARVIND,Arvind Limited,356.4,361,362.9,350.15,359.9,-3.5,-0.97,513526,450,274.8,9281.504073,
ARVINDFASN,NSE:ARVINDFASN,Arvind Fashions Limited,519,523.6,525.45,510.95,523.6,-4.6,-0.88,263692,584.7,320.2,6525.83853,
ARVSMART,NSE:ARVSMART,Arvind SmartSpaces Limited,574,575.85,583.3,573,575.85,-1.85,-0.32,37884,1025,568.35,2642.361139,
ASAHIINDIA,NSE:ASAHIINDIA,Asahi India Glass Limited,1025,1030.95,1034.35,1019.2,1028.3,-3.3,-0.32,351291,1074,576.8,24857.30681,
ASAHISONG,NSE:ASAHISONG,Asahi Songwon Colors Limited,258,259.45,259.45,252.5,254.5,3.5,1.38,10172,491.95,243.95,296.008044,
ASAL,NSE:ASAL,Automotive Stampings and Assemblies Limited,510,514.25,517.15,510,513.9,-3.9,-0.76,43300,819.6,395.5,776.41482,
ASALCBR,NSE:ASALCBR,Associated Alcohols & Breweries Ltd.,975.5,986,993.6,960,990,-14.5,-1.46,220625,1496,920,1770.839783,
ASHAPURMIN,NSE:ASHAPURMIN,Ashapura Minechem Limited,695.6,708.8,717,692,701.85,-6.25,-0.89,729442,754.9,280.53,6441.655048,
ASHIANA,NSE:ASHIANA,Ashiana Housing Limited,299,304.4,304.4,298,301.65,-2.65,-0.88,41567,395.7,247.8,2991.60862,
ASHIMASYN,NSE:ASHIMASYN,Ashima Limited,19.51,19.64,20.14,19.45,19.63,-0.12,-0.61,81584,38.28,16.99,357.530314,
ASHOKA,NSE:ASHOKA,Ashoka Buildcon Limited,183,183,187.4,180.85,178,5,2.81,824959,319,159.34,5057.573276,
ASHOKAMET,NSE:ASHOKAMET,Ashoka Metcast Limited,15.85,15.89,15.98,15.65,15.87,-0.02,-0.13,25635,25.7,15,39.2827201,
